,season,day,landscape,year,method,wolf_seen
904,spring,mon,mountains,1980,human,False
3528,spring,sun,forest,1980,robot-spy,False
5029,winter,mon,grasslands,1980,robot-spy,False
1957,winter,thu,grasslands,1980,drone,False
4239,winter,sat,mountains,1980,human,False
1232,winter,sun,hills,1980,robot-spy,False
1255,summer,thu,hills,1980,human,False
1279,winter,wed,grasslands,1981,human,False
4103,summer,mon,forest,1981,robot-spy,False
3455,spring,tue,mountains,1981,drone,False
2545,autumn,mon,forest,1981,human,False
3831,autumn,fri,hills,1981,drone,False
1250,winter,tue,mountains,1981,robot-spy,False
1363,winter,wed,hills,1981,robot-spy,False
1088,autumn,thu,mountains,1981,robot-spy,False
496,winter,thu,hills,1981,human,True
767,spring,fri,hills,1981,robot-spy,True
2814,winter,thu,grasslands,1981,human,False
2911,spring,thu,grasslands,1981,human,False
988,autumn,thu,forest,1982,robot-spy,False
4179,autumn,tue,mountains,1982,robot-spy,False
4674,winter,tue,mountains,1982,robot-spy,False
4072,spring,fri,grasslands,1982,drone,False
1468,summer,thu,hills,1982,human,False
4319,spring,mon,grasslands,1982,human,False
4728,summer,sun,hills,1982,human,False
4068,autumn,mon,hills,1982,human,False
855,spring,fri,forest,1982,human,False
3548,summer,mon,grasslands,1982,human,False
2497,summer,tue,mountains,1982,human,False
347,autumn,fri,hills,1982,human,True
2712,spring,mon,grasslands,1982,robot-spy,False
2647,summer,sat,grasslands,1982,human,False
3295,spring,sat,forest,1982,human,False
3674,summer,sat,hills,1983,robot-spy,False
2823,autumn,tue,hills,1983,robot-spy,False
2806,summer,wed,mountains,1983,human,False
4656,autumn,sat,grasslands,1983,drone,False
4644,autumn,fri,mountains,1983,robot-spy,False
1184,winter,sat,hills,1983,human,False
4332,spring,sat,forest,1983,robot-spy,False
873,summer,sat,grasslands,1983,drone,False
1178,summer,fri,mountains,1983,robot-spy,False
1152,autumn,mon,grasslands,1983,drone,False
201,autumn,thu,grasslands,1983,human,True
3411,summer,mon,forest,1983,human,False
1003,spring,fri,hills,1983,human,False
3461,autumn,mon,mountains,1983,human,False
654,autumn,tue,hills,1983,human,True
1164,summer,tue,mountains,1983,human,False
2204,summer,mon,grasslands,1983,human,False
1019,summer,wed,grasslands,1983,human,False
3565,summer,mon,hills,1983,human,False
4236,autumn,fri,mountains,1983,drone,False
2346,winter,wed,hills,1983,human,False
2927,autumn,thu,forest,1983,human,False
930,winter,mon,grasslands,1983,human,False
4821,autumn,mon,mountains,1983,human,False
4867,winter,sun,grasslands,1983,robot-spy,False
1248,spring,mon,hills,1983,human,False
5124,autumn,sat,hills,1983,drone,False
1371,winter,mon,forest,1983,human,False
1500,summer,fri,grasslands,1984,human,False
2355,winter,sat,hills,1984,robot-spy,False
3147,spring,mon,grasslands,1984,human,False
4949,winter,wed,grasslands,1984,human,False
2234,spring,fri,mountains,1984,human,False
2877,winter,sat,grasslands,1984,human,False
1546,spring,mon,mountains,1984,human,False
0,autumn,tue,mountains,1984,robot-spy,True
1094,spring,fri,hills,1984,robot-spy,False
4112,winter,sun,mountains,1984,robot-spy,False
1002,summer,sun,hills,1984,human,False
4289,summer,fri,mountains,1984,robot-spy,False
4293,spring,fri,hills,1984,robot-spy,False
834,autumn,tue,forest,1984,human,False
1756,autumn,sat,hills,1984,human,False
4350,winter,wed,forest,1984,human,False
2219,summer,fri,hills,1984,human,False
3475,summer,tue,hills,1984,human,False
3815,summer,mon,grasslands,1984,drone,False
1380,winter,mon,hills,1984,human,False
2534,summer,sun,hills,1984,robot-spy,False
3224,summer,sat,hills,1984,drone,False
1078,winter,mon,forest,1984,human,False
1456,autumn,mon,forest,1984,robot-spy,False
3264,autumn,mon,hills,1984,human,False
1417,spring,wed,grasslands,1984,drone,False
2561,winter,wed,hills,1984,robot-spy,False
538,winter,sun,hills,1984,robot-spy,True
1560,autumn,wed,grasslands,1985,human,False
2064,winter,tue,hills,1985,drone,False
1945,summer,tue,forest,1985,human,False
5155,summer,sun,grasslands,1985,human,False
556,autumn,fri,forest,1985,human,True
